Response_0,Id
3,1
6,3
7,4
7,9
7,12
8,13
7,21
7,28
4,30
8,36
8,38
7,43
3,45
8,48
6,50
7,51
6,54
8,55
8,59
3,62
8,63
8,66
8,69
8,82
7,83
6,84
8,86
8,89
3,90
7,92
6,98
1,100
4,105
8,115
1,119
1,124
8,127
7,133
4,140
8,141
1,143
4,151
8,154
8,157
4,163
1,166
8,168
6,170
8,173
6,180
8,182
4,184
7,185
8,195
6,196
5,197
5,212
7,213
8,219
3,225
4,227
4,232
5,239
6,247
3,251
4,254
6,261
6,264
8,267
8,272
8,275
2,277
7,283
1,284
7,287
8,291
4,293
2,294
6,305
4,307
8,309
4,311
1,322
3,323
6,326
1,330
8,335
7,337
4,338
1,341
6,346
6,348
2,352
8,356
3,358
6,366
3,369
5,373
3,375
5,381
8,384
5,386
7,396
1,397
7,399
8,405
7,412
2,417
4,421
7,425
8,427
4,430
4,432
8,433
8,436
8,438
8,441
5,442
4,444
7,446
8,448
5,450
8,454
8,465
6,470
3,472
8,475
8,484
8,495
8,497
8,498
3,501
4,502
8,505
2,515
6,516
8,527
2,529
8,531
5,533
2,537
7,541
8,546
7,548
8,549
7,550
8,553
7,559
2,561
1,564
5,574
7,578
6,579
8,580
5,582
8,584
7,588
4,596
3,602
3,603
7,613
1,614
8,619
7,620
4,624
7,625
4,628
6,630
7,635
4,636
8,637
8,641
8,644
8,648
7,654
5,658
8,664
7,666
7,667
8,670
6,672
8,674
7,676
8,684
4,685
3,693
7,694
1,700
6,702
6,703
4,705
8,711
1,718
8,722
4,726
3,727
8,732
8,735
4,740
7,748
7,750
8,751
7,756
7,762
8,766
7,770
2,771
6,779
2,782
8,784
6,793
4,798
6,800
8,801
7,805
3,807
8,813
8,819
6,820
8,822
7,823
8,833
5,834
2,842
7,845
4,856
4,860
1,864
8,869
7,872
4,877
7,878
6,893
8,894
5,896
5,899
7,900
1,911
7,914
1,917
8,919
1,923
5,925
3,926
6,934
7,938
6,940
6,955
7,956
7,971
8,973
8,978
8,979
7,981
7,988
8,990
4,992
8,996
4,997
4,999
8,1000
7,1006
2,1009
6,1018
5,1025
8,1038
7,1042
4,1045
8,1046
5,1047
4,1050
7,1052
8,1054
7,1057
1,1061
5,1069
5,1071
6,1073
8,1074
4,1075
5,1083
1,1084
4,1089
4,1099
3,1103
8,1110
7,1123
7,1130
7,1135
8,1137
8,1145
4,1147
8,1152
1,1153
8,1154
8,1158
6,1166
8,1170
7,1172
5,1178
8,1179
1,1181
7,1182
8,1183
6,1191
1,1192
2,1200
7,1205
6,1207
1,1208
2,1209
3,1217
8,1223
8,1225
3,1226
3,1228
4,1230
8,1232
8,1235
6,1237
7,1257
1,1266
6,1267
8,1274
8,1277
6,1278
8,1280
7,1282
6,1293
2,1294
8,1305
7,1306
7,1311
4,1318
8,1320
8,1323
3,1325
5,1328
3,1336
8,1340
8,1341
7,1344
7,1345
1,1348
1,1358
8,1361
4,1364
8,1373
4,1377
7,1378
7,1380
7,1382
4,1383
8,1386
1,1387
3,1390
8,1395
6,1398
2,1402
8,1403
8,1405
7,1407
1,1410
2,1412
6,1419
7,1426
8,1428
8,1436
3,1437
3,1438
8,1441
3,1444
2,1448
5,1454
6,1457
8,1459
7,1463
1,1467
6,1471
5,1475
4,1476
7,1480
1,1481
4,1482
4,1489
7,1491
8,1494
8,1496
8,1500
8,1501
7,1503
3,1504
2,1505
3,1515
5,1517
4,1520
3,1521
8,1523
7,1526
6,1529
6,1530
5,1543
8,1544
6,1547
8,1550
6,1552
6,1554
7,1563
7,1574
4,1575
4,1576
4,1579
2,1582
7,1584
7,1585
4,1589
6,1596
2,1598
6,1611
3,1613
7,1615
3,1618
7,1627
1,1630
8,1638
6,1639
8,1640
7,1642
6,1645
7,1648
4,1654
7,1661
7,1662
8,1663
3,1666
1,1668
1,1670
7,1672
6,1681
7,1682
1,1683
8,1687
8,1688
7,1693
7,1694
8,1700
6,1704
8,1712
8,1716
7,1717
4,1722
4,1724
1,1738
1,1739
